Filename,Class,Stage
Not Cancer  (1727).jpg,healthy,test
Not Cancer  (980).jpg,healthy,test
Not Cancer  (1377).jpg,healthy,test
Not Cancer  (579).jpg,healthy,test
Not Cancer  (129).jpg,healthy,test
Not Cancer  (596).jpg,healthy,test
Not Cancer  (1662).jpg,healthy,test
Not Cancer  (1398).jpg,healthy,test
Not Cancer  (1232).jpg,healthy,test
Not Cancer  (1818).jpg,healthy,test
Not Cancer  (345).jpg,healthy,test
Not Cancer  (715).jpg,healthy,test
Not Cancer  (200).jpg,healthy,test
Not Cancer  (650).jpg,healthy,test
Not Cancer  (484).jpg,healthy,test
Not Cancer  (54).jpg,healthy,test
Not Cancer  (1320).jpg,healthy,test
Not Cancer  (1770).jpg,healthy,test
Not Cancer  (938).jpg,healthy,test
Not Cancer  (1265).jpg,healthy,test
Not Cancer  (1635).jpg,healthy,test
Not Cancer  (892).jpg,healthy,test
Not Cancer  (2019).jpg,healthy,test
Not Cancer  (191).jpg,healthy,test
Not Cancer  (742).jpg,healthy,test
Not Cancer  (312).jpg,healthy,test
Not Cancer  (607).jpg,healthy,test
Not Cancer  (257).jpg,healthy,test
Not Cancer  (1459).jpg,healthy,test
Not Cancer  (1009).jpg,healthy,test
Not Cancer  (1766).jpg,healthy,test
Not Cancer  (1336).jpg,healthy,test
Not Cancer  (538).jpg,healthy,test
Not Cancer  (168).jpg,healthy,test
Not Cancer  (42).jpg,healthy,test
Not Cancer  (492).jpg,healthy,test
Not Cancer  (187).jpg,healthy,test
Not Cancer  (3).jpeg,healthy,test
Not Cancer  (884).jpg,healthy,test
Not Cancer  (1623).jpg,healthy,test
Not Cancer  (1273).jpg,healthy,test
Not Cancer  (1789).jpg,healthy,test
Not Cancer  (1859).jpg,healthy,test
Not Cancer  (304).jpg,healthy,test
Not Cancer  (754).jpg,healthy,test
Not Cancer  (241).jpg,healthy,test
Not Cancer  (611).jpg,healthy,test
Not Cancer  (15).jpg,healthy,test
Not Cancer  (1361).jpg,healthy,test
Not Cancer  (996).jpg,healthy,test
Not Cancer  (1731).jpg,healthy,test
Not Cancer  (979).jpg,healthy,test
Not Cancer  (1224).jpg,healthy,test
Not Cancer  (1674).jpg,healthy,test
Not Cancer  (580).jpg,healthy,test
Not Cancer  (2058).jpg,healthy,test
Not Cancer  (703).jpg,healthy,test
Not Cancer  (353).jpg,healthy,test
Not Cancer  (646).jpg,healthy,test
Not Cancer  (216).jpg,healthy,test
Not Cancer  (1418).jpg,healthy,test
Not Cancer  (1048).jpg,healthy,test
Not Cancer  (902).jpg,healthy,test
Not Cancer  (81).jpg,healthy,test
Not Cancer  (451).jpg,healthy,test
Not Cancer  (2023).jpg,healthy,test
Not Cancer  (144).jpg,healthy,test
Not Cancer  (514).jpg,healthy,test
Not Cancer  (847).jpg,healthy,test
Not Cancer  (797).jpg,healthy,test
Not Cancer  (1930).jpg,healthy,test
Not Cancer  (1463).jpg,healthy,test
Not Cancer  (4).jpg,healthy,test
Not Cancer  (1199).jpg,healthy,test
Not Cancer  (1033).jpg,healthy,test
Not Cancer  (1526).jpg,healthy,test
Not Cancer  (1176).jpg,healthy,test
Not Cancer  (778).jpg,healthy,test
Not Cancer  (282).jpg,healthy,test
Not Cancer  (328).jpg,healthy,test
Not Cancer  (1875).jpg,healthy,test
Not Cancer  (2074).jpg,healthy,test
Not Cancer  (406).jpg,healthy,test
Not Cancer  (1658).jpg,healthy,test
Not Cancer  (1208).jpg,healthy,test
Not Cancer  (955).jpg,healthy,test
Not Cancer  (810).jpg,healthy,test
Not Cancer  (543).jpg,healthy,test
Not Cancer  (113).jpg,healthy,test
Not Cancer  (39).jpg,healthy,test
Not Cancer  (1064).jpg,healthy,test
Not Cancer  (1434).jpg,healthy,test
Not Cancer  (1967).jpg,healthy,test
Not Cancer  (390).jpg,healthy,test
Not Cancer  (685).jpg,healthy,test
Not Cancer  (1822).jpg,healthy,test
Not Cancer  (1988).jpg,healthy,test
Not Cancer  (1121).jpg,healthy,test
Not Cancer  (1571).jpg,healthy,test
Not Cancer  (943).jpg,healthy,test
Not Cancer  (410).jpg,healthy,test
Not Cancer  (2062).jpg,healthy,test
Not Cancer  (105).jpg,healthy,test
Not Cancer  (555).jpg,healthy,test
Not Cancer  (806).jpg,healthy,test
Not Cancer  (386).jpg,healthy,test
Not Cancer  (1971).jpg,healthy,test
Not Cancer  (1422).jpg,healthy,test
Not Cancer  (1072).jpg,healthy,test
Not Cancer  (1588).jpg,healthy,test
Not Cancer  (1567).jpg,healthy,test
Not Cancer  (1137).jpg,healthy,test
Not Cancer  (739).jpg,healthy,test
Not Cancer  (369).jpg,healthy,test
Not Cancer  (1834).jpg,healthy,test
Not Cancer  (693).jpg,healthy,test
Not Cancer  (2035).jpg,healthy,test
Not Cancer  (447).jpg,healthy,test
Not Cancer  (97).jpg,healthy,test
Not Cancer  (1619).jpg,healthy,test
Not Cancer  (1249).jpg,healthy,test
Not Cancer  (914).jpg,healthy,test
Not Cancer  (851).jpg,healthy,test
Not Cancer  (502).jpg,healthy,test
Not Cancer  (152).jpg,healthy,test
Not Cancer  (78).jpg,healthy,test
Not Cancer  (1025).jpg,healthy,test
Not Cancer  (1475).jpg,healthy,test
Not Cancer  (1926).jpg,healthy,test
Not Cancer  (781).jpg,healthy,test
Not Cancer  (1863).jpg,healthy,test
Not Cancer  (294).jpg,healthy,test
Not Cancer  (1160).jpg,healthy,test
Not Cancer  (1530).jpg,healthy,test
Not Cancer  (1547).jpg,healthy,test
